omega,delta_chi2
3.389079079079079548e+01,1.270195231098037780e+00
3.396776776776777496e+01,1.251976678891059347e+00
3.404474474474474732e+01,1.266377706728063934e+00
3.412172172172172679e+01,1.295011800074966191e+00
3.419869869869870627e+01,1.320367222454856826e+00
3.427567567567567863e+01,1.327523444051043056e+00
3.435265265265265811e+01,1.305562525485628012e+00
3.442962962962963047e+01,1.248548585449688275e+00
3.450660660660660994e+01,1.155980936666470171e+00
3.458358358358358942e+01,1.032668522840575420e+00
3.466056056056056178e+01,8.880266870403518142e-01
3.473753753753754125e+01,7.348602650025823912e-01
3.481451451451452073e+01,5.877622686417480757e-01
3.489149149149149309e+01,4.613129493842229589e-01
3.496846846846847257e+01,3.682964017818780023e-01
3.504544544544545204e+01,3.181512425516158094e-01
3.512242242242243151e+01,3.158361656451510457e-01
3.519939939939940388e+01,3.612274347295065802e-01
3.527637637637638335e+01,4.490881096263624750e-01
3.535335335335336282e+01,5.695754904717023059e-01
3.543033033033033519e+01,7.091990926728808375e-01
3.550730730730731466e+01,8.521147769225079216e-01
3.558428428428428703e+01,9.816403349262413647e-01
3.566126126126126650e+01,1.081893482433884612e+00
3.573823823823824597e+01,1.139468545257849241e+00
3.581521521521521834e+01,1.145067139876918993e+00
3.589219219219219781e+01,1.094972579529071011e+00
3.596916916916917728e+01,9.922130193433120748e-01
3.604614614614614965e+01,8.472150249225522955e-01
3.612312312312312912e+01,6.777375208506547510e-01
3.620010010010010859e+01,5.079238166838395685e-01
3.627707707707708096e+01,3.664272545142032156e-01
3.635405405405406043e+01,2.837366151132736936e-01
3.643103103103103990e+01,2.890061015472978889e-01
3.650800800800801227e+01,4.068244166876587853e-01
3.658498498498499174e+01,6.543921853154626156e-01
3.666196196196197121e+01,1.039501978162045592e+00
3.673893893893894358e+01,1.559552743793545693e+00
3.681591591591592305e+01,2.201629232347303233e+00
3.689289289289290252e+01,2.943492656416903941e+00
3.696986986986987489e+01,3.755206453055564886e+00
3.704684684684685436e+01,4.601085466089093856e+00
3.712382382382382673e+01,5.441710208850997432e+00
3.720080080080080620e+01,6.235869882810671783e+00
3.727777777777778567e+01,6.942448533178917636e+00
3.735475475475475804e+01,7.522395026210113578e+00
3.743173173173173751e+01,7.940966273525002173e+00
3.750870870870871698e+01,8.170368742009662455e+00
3.758568568568568935e+01,8.192744342291703674e+00
3.766266266266266882e+01,8.003194789565993617e+00
3.773963963963964829e+01,7.612294078755659221e+00
3.781661661661662066e+01,7.047402227911037542e+00
3.789359359359360013e+01,6.352150985787440973e+00
3.797057057057057960e+01,5.583754632110618843e+00
3.804754754754755197e+01,4.808253097194959302e+00
3.812452452452453144e+01,4.094288292300955590e+00
3.820150150150151092e+01,3.506384220016273812e+00
3.827847847847848328e+01,3.098822311498561799e+00
3.835545545545546275e+01,2.911043264369852057e+00
3.843243243243244223e+01,2.965132301447075847e+00
3.850940940940941459e+01,3.265482616087341139e+00
3.858638638638639407e+01,3.800311692634885219e+00
3.866336336336336643e+01,4.544420439857814742e+00
3.874034034034034590e+01,5.462479760173401644e+00
3.881731731731732538e+01,6.512203541595780187e+00
3.889429429429429774e+01,7.646985565211219082e+00
3.897127127127127721e+01,8.817874993796358751e+00
3.904824824824825669e+01,9.975054957449609461e+00
3.912522522522522905e+01,1.106918398745221310e+01
3.920220220220220853e+01,1.205299835043332735e+01
3.927917917917918800e+01,1.288343986865027269e+01
3.935615615615616036e+01,1.352430945657408223e+01
3.943313313313313984e+01,1.394913814163773047e+01
3.951011011011011931e+01,1.414372239679586585e+01
3.958708708708709167e+01,1.410768352212365073e+01
3.966406406406407115e+01,1.385452834675137979e+01
3.974104104104105062e+01,1.340998811264420709e+01
3.981801801801802299e+01,1.280880527018993753e+01
3.989499499499500246e+01,1.209050045460634415e+01
3.997197197197198193e+01,1.129487310062729222e+01
4.004894894894895430e+01,1.045801123587424541e+01
4.012592592592593377e+01,9.609419612990642179e+00
4.020290290290290613e+01,8.770586086402131443e+00
4.027987987987988561e+01,7.954984449525404955e+00
4.035685685685686508e+01,7.169242325101229163e+00
4.043383383383383745e+01,6.415042201015824119e+00
4.051081081081081692e+01,5.691291873322370520e+00
4.058778778778779639e+01,4.996179535233111757e+00
4.066476476476476876e+01,4.328872387746170780e+00
4.074174174174174823e+01,3.690768129177710577e+00
4.081871871871872770e+01,3.086316425982287726e+00
4.089569569569570007e+01,2.523467414827969435e+00
4.097267267267267954e+01,2.013782190378661241e+00
4.104964964964965901e+01,1.572186779638804710e+00
4.112662662662663138e+01,1.216306980748653288e+00
4.120360360360361085e+01,9.653199877229945436e-01
4.128058058058059032e+01,8.383130103785700893e-01
4.135755755755756269e+01,8.522378653621589528e-01
4.143453453453454216e+01,1.019663376287233802e+00
4.151151151151152163e+01,1.346616392999657519e+00
4.158848848848849400e+01,1.830834867521758946e+00
4.166546546546547347e+01,2.460716398821182871e+00
4.174244244244244584e+01,3.215138446905050351e+00
4.181941941941942531e+01,4.064178778886342158e+00
4.189639639639640478e+01,4.970617685422604737e+00
4.197337337337337715e+01,5.891999592643315076e+00
4.205035035035035662e+01,6.782999389265377488e+00
4.212732732732733609e+01,7.597880381377334125e+00
4.220430430430430846e+01,8.292919718380353800e+00
4.228128128128128793e+01,8.828767763025632931e+00
4.235825825825826740e+01,9.172754530502469805e+00
4.243523523523523977e+01,9.301133453457733680e+00
4.251221221221221924e+01,9.201167031007591035e+00
4.258918918918919871e+01,8.872847566836313149e+00
4.266616616616617108e+01,8.329961693057079231e+00
4.274314314314315055e+01,7.600195590446006122e+00
4.282012012012013003e+01,6.724059249477122968e+00
4.289709709709710239e+01,5.752570591843237047e+00
4.297407407407408186e+01,4.743845144632668820e+00
4.305105105105106134e+01,3.758933815467996986e+00
4.312802802802803370e+01,2.857393074302142733e+00
4.320500500500501317e+01,2.093124895045589184e+00
4.328198198198199265e+01,1.510973212743866201e+00
4.335895895895896501e+01,1.144416295206876377e+00
4.343593593593594449e+01,1.014480953264569552e+00
4.351291291291291685e+01,1.129776793604536422e+00
4.358988988988989632e+01,1.487368627264884946e+00
4.366686686686687580e+01,2.074124880464620624e+00
4.374384384384384816e+01,2.868220929426041010e+00
4.382082082082082763e+01,3.840617742724659056e+00
4.389779779779780711e+01,4.956519267255196759e+00
4.397477477477477947e+01,6.176960498049727910e+00
4.405175175175175895e+01,7.460727244146335480e+00
4.412872872872873842e+01,8.766730240458967316e+00
4.420570570570571078e+01,1.005677188891088747e+01
4.428268268268269026e+01,1.129841823065738993e+01
4.435965965965966973e+01,1.246750635100650584e+01
4.443663663663664209e+01,1.354975155597665193e+01
4.451361361361362157e+01,1.454100538796036624e+01
4.459059059059060104e+01,1.544594328332576261e+01
4.466756756756757341e+01,1.627527650868889353e+01
4.474454454454455288e+01,1.704190943802148794e+01
4.482152152152153235e+01,1.775671771320206460e+01
4.489849849849850472e+01,1.842473665013753958e+01
4.497547547547548419e+01,1.904248513811197085e+01
4.505245245245245655e+01,1.959691628800655394e+01
4.512942942942943603e+01,2.006613901180510950e+01
4.520640640640641550e+01,2.042168664205942363e+01
4.528338338338338787e+01,2.063181813055155445e+01
4.536036036036036734e+01,2.066519644978104608e+01
4.543733733733734681e+01,2.049432147980960650e+01
4.551431431431431918e+01,2.009827382679856100e+01
4.559129129129129865e+01,1.946458735543371432e+01
4.566826826826827812e+01,1.859033134415835420e+01
4.574524524524525049e+01,1.748267256213031828e+01
4.582222222222222996e+01,1.615924995629096728e+01
4.589919919919920943e+01,1.464861212125819101e+01
4.597617617617618180e+01,1.299076454546360715e+01
4.605315315315316127e+01,1.123761326427308838e+01
4.613013013013014074e+01,9.452862284339566656e+00
4.620710710710711311e+01,7.710813195020358890e+00
4.628408408408409258e+01,6.093589227962054267e+00
4.636106106106107205e+01,4.686574072499326782e+00
4.643803803803804442e+01,3.572265354736027465e+00
4.651501501501502389e+01,2.823183571265713177e+00
4.659199199199199626e+01,2.494811918417253249e+00
4.666896896896897573e+01,2.619654764847077377e+00
4.674594594594595520e+01,3.203345671654077798e+00
4.682292292292292757e+01,4.223354658612120893e+00
4.689989989989990704e+01,5.630357534391188246e+00
4.697687687687688651e+01,7.351880617360697201e+00
4.705385385385385888e+01,9.297534752762329546e+00
4.713083083083083835e+01,1.136505228541669510e+01
4.720780780780781782e+01,1.344642363545858998e+01
4.728478478478479019e+01,1.543363668975753455e+01
4.736176176176176966e+01,1.722377607745639949e+01
4.743873873873874913e+01,1.872346830941206264e+01
4.751571571571572150e+01,1.985280648360483724e+01
4.759269269269270097e+01,2.054892155708972012e+01
4.766966966966968045e+01,2.076928137567627886e+01
